district,county_id,county,dem,rep,neighbors
1,23,DELAWARE,59608,13316,"51,81,98"
1,51,PHILADELPHIA,166377,26420,"98,99,23,9"
2,46,MONTGOMERY,23384,12097,"81,98,94,92"
2,98,PHILADELPHIA,278485,19551,"51,46,94,99,23"
14,3,ARMSTRONG,8305,18056,"10,16,33,32,65"
5,10,BUTLER,25445,59513,"4,87,37,43,61,3,2"
14,16,CLARION,1375,3247,"77,33,3"
3,20,CRAWFORD,11513,17658,"25,82,62,61,43,106"
3,25,ERIE,36431,23261,"20,82"
3,37,LAWRENCE,13505,16063,"87,10,43"
3,43,MERCER,23568,22351,"20,61,10,37"
4,1,ADAMS,11955,27142,"28,78,67"
11,21,CUMBERLAND,18964,37038,"78,97,22,67"
11,22,DAUPHIN,14024,2778,"21,79"
4,67,YORK,58444,112382,"1,78,21,79,80,86"
5,12,CAMERON,605,1325,"24,42,53,18,17"
9,14,CENTRE,30268,36766,"17,18,60,44,31,7"
5,77,CLARION,2937,7232,"16,61,27,33"
5,17,CLEARFIELD,9608,21786,"33,24,12,18,14,11,32"
5,18,CLINTON,4540,7852,"53,12,17,14,41,60"
3,106,CRAWFORD,744,1166,"20,61"
5,24,ELK,4370,7877,"33,27,42,12,17"
3,82,ERIE,21423,24810,"25,20,62"
5,27,FOREST,772,1481,"61,77,33,24,62"
10,31,HUNTINGDON,3802,8761,"44,14,7,84"
5,33,JEFFERSON,4251,12584,"32,17,24,27,77,16,3"
5,42,McKEAN,4319,10298,"62,24,12,53"
5,53,POTTER,1582,5479,"42,12,18,101,59,41"
5,59,TIOGA,218,696,"53,101"
5,61,VENANGO,6519,13875,"62,27,77,106,10,43,20"
5,62,WARREN,5657,10054,"82,20,61,27,42"
6,6,BERKS,30314,44980,"71,39,91,70,72,38,86"
13,15,CHESTER,68545,87161,"91,75,81,70,92"
6,38,LEBANON,7340,13984,"88,6,86,71"
6,91,MONTGOMERY,32489,37522,"93,92,15,70,6,39"
13,70,BERKS,9202,16739,"6,72,91,15,75,86"
7,75,CHESTER,17925,29561,"76,36,70,15,86,81"
7,81,DELAWARE,78756,110644,"75,92,23,46,15"
7,36,LANCASTER,1986,6350,"86,75,76"
13,92,MONTGOMERY,31198,40683,"91,93,94,15,81,46"
8,9,BUCKS,137130,175118,"48,39,93,94,99,51"
13,93,MONTGOMERY,15385,24165,"91,92,94,9"
9,5,BEDFORD,5682,15573,"56,100,73,7,84,29"
9,7,BLAIR,16365,30837,"11,73,14,31,84,5"
14,11,CAMBRIA,4638,6059,"73,32,17,7"
9,26,FAYETTE,23065,23385,"30,63,103,100,56"
9,28,FRANKLIN,19138,42418,"29,84,50,78,1"
9,29,FULTON,1684,4369,"5,84,28"
9,30,GREENE,3326,2827,"83,63,26,102"
9,84,HUNTINGDON,1464,3166,"31,34,28,29,5,7"
14,32,INDIANA,13459,21883,"65,73,11,17,33,3"
9,56,SOMERSET,2011,6788,"26,5,100"
9,63,WASHINGTON,10003,7466,"30,26,103,69,102,105"
9,105,WESTMORELAND,2585,1267,"103,63"
10,8,BRADFORD,6519,15255,"101,41,57,66,58"
17,34,JUNIATA,2370,6777,"44,55,50,84"
10,35,LACKAWANNA,13841,15239,"58,64,90,85,40,66,89"
10,41,LYCOMING,12653,32865,"101,8,57,19,47,49,60,18,53"
10,44,MIFFLIN,4110,11624,"31,34,55,60,14"
17,45,MONROE,10278,8766,"90,52"
10,49,NORTHUMBERLAND,2901,7146,"41,60,96,47"
11,50,PERRY,2482,6985,"34,79,97,78,28"
17,52,PIKE,9357,12922,"90,45,64"
17,55,SNYDER,3753,10601,"34,44,60,96"
17,57,SULLIVAN,868,1988,"41,8,66,40,19"
10,58,SUSQUEHANNA,5853,11646,"8,66,35,64"
5,101,TIOGA,4127,10402,"59,53,41,8"
10,60,UNION,5230,10500,"41,49,55,44,14,18"
17,64,WAYNE,7013,13557,"58,35,90,52"
17,13,CARBON,2416,4350,"74,54,40,90"
17,19,COLUMBIA,9092,14849,"47,96,54,40,57,41"
11,78,CUMBERLAND,18262,30234,"97,50,21,67,1,28"
11,79,DAUPHIN,34219,35103,"96,50,97,22,67,80,88,54"
17,40,LUZERNE,34485,49613,"19,66,57,35,89,85,13,54,90"
17,47,MONTOUR,2951,4603,"19,96,49,41"
17,96,NORTHUMBERLAND,7975,12578,"49,55,79,54,19,47"
11,97,PERRY,2685,5601,"50,79,21,78"
10,66,WYOMING,4230,6802,"57,8,58,35,40"
12,2,ALLEGHENY,58900,75338,"68,69,4,10,65"
12,4,BEAVER,39591,38753,"87,10,2,69,102"
9,73,CAMBRIA,29333,17331,"11,7,5,100,65,32"
3,87,LAWRENCE,3585,3503,"37,10,4"
9,100,SOMERSET,11299,13163,"56,26,103,65,73,5"
14,65,WESTMORELAND,18689,25252,"103,2,3,32,73,100,104"
13,94,MONTGOMERY,113268,59369,"92,99,46,9,93,98"
1,99,PHILADELPHIA,91418,32939,"94,98,51,9"
14,68,ALLEGHENY,244444,72388,"69,103,2,104"
14,104,WESTMORELAND,4568,2567,"68,65"
6,71,BERKS,8182,14052,"88,6,39,54,38"
16,80,DAUPHIN,11179,18998,"79,67,86,88"
6,88,LEBANON,9670,20786,"38,86,80,79,54,71"
15,39,LEHIGH,67598,75308,"71,6,91,9,48,74,54"
15,48,NORTHAMPTON,30032,36485,"39,95,90,74,9"
16,72,BERKS,21018,9556,"6,86,70"
7,76,CHESTER,18975,19471,"75,86,36"
16,86,LANCASTER,69033,125310,"67,80,88,38,6,72,70,75,36,76"
17,74,CARBON,8498,7844,"13,54,90,39,48"
17,85,LACKAWANNA,48500,15944,"35,90,40,89"
17,89,LUZERNE,26352,10594,"40,85,35"
17,90,MONROE,19891,15043,"45,52,64,35,85,40,13,74,48,95"
