district,county_id,county,rep,dem,neighbors
36,1,Angelina,19844,7634,"4,8,319,293,322,50,46"
1,2,Gregg,28651,11849,"3,6,10,32"
1,3,Harrison,17077,8072,"2,6,5,26,32"
1,4,Nacogdoches,13578,6063,"6,9,8,1,35"
1,5,Panola,7556,2288,"3,6,9"
1,6,Rusk,13744,4184,"2,3,5,9,4,10,35"
1,7,Sabine,3411,883,"9,8,319,325"
1,8,San Augustine,2256,1179,"7,9,4,1,319"
1,9,Shelby,6392,2364,"5,6,4,8,7"
1,10,Smith,56950,20475,"13,12,2,6,35,36,38,39"
1,12,Upshur,3344,945,"10,13,32"
1,13,Wood,5519,1286,"10,12,32,17,21,39"
2,14,Harris,159664,80512,"321,294,263,160,54,44,61,52,48"
3,15,Collin,187180,0,"33,243,229,230,266,200"
4,16,Bowie,24020,9624,"29,27,18"
4,17,Camp,2740,1391,"21,31,27,32,13"
4,18,Cass,8250,3066,"16,27,26"
4,19,Delta,1479,447,"25,23,24,20"
4,20,Fannin,7772,2534,"22,33,24,19,25"
4,21,Franklin,3265,737,"29,31,17,13,39,23"
4,22,Grayson,29780,10153,"20,33,243,104"
4,23,Hopkins,9056,3096,"19,21,39,28,24"
4,24,Hunt,20441,6097,"20,19,23,28,38,37,30,33"
4,25,Lamar,12283,4098,"20,19,29"
4,26,Marion,2599,1443,"18,27,32,3"
4,27,Morris,2996,1807,"29,16,18,26,32,17,31"
4,28,Rains,3181,734,"24,23,39,38"
4,29,Red River,3342,1404,"25,21,31,27,16"
4,30,Rockwall,27053,6657,"33,24,37,266,267"
4,31,Titus,5846,2581,"29,27,17,21"
4,32,Upshur,8258,1961,"27,17,26,13,12,2,3"
4,33,Collin,10318,2384,"22,20,24,30,266,15,243"
5,34,Anderson,11870,3724,"36,35,46,159,152"
1,35,Cherokee,11529,3824,"36,34,46,1,4,6,10"
5,36,Henderson,20710,5951,"37,38,10,35,34,41,42"
5,37,Kaufman,24305,9043,"40,41,36,38,24,30"
5,38,Van Zandt,15064,3056,"37,24,28,39,10,36"
5,39,Wood,8306,1757,"28,23,21,13,10,38"
5,40,Dallas,42307,41823,"267,37,41,264"
6,41,Ellis,38211,13215,"264,43,238,237,42,36"
17,42,Navarro,10560,4080,"41,237,153,152,36"
6,43,Tarrant,96248,80758,"95,269,330,264,41,238,334"
7,44,Harris,142793,85553,"61,296,54,14"
8,45,Grimes,5958,2256,"47,51,48,59,60,149"
8,46,Houston,5550,2229,"53,47,51,50,1,35,34,159"
8,47,Madison,2924,997,"46,51,45,53,149"
8,48,Montgomery,137625,30004,"45,51,49,321,14,52,61,59"
8,49,San Jacinto,6839,2315,"50,51,48,321,322"
8,50,Trinity,4131,1566,"46,51,49,322,1"
8,51,Walker,12305,5561,"47,46,50,49,48,45"
8,52,Harris,16056,5632,"48,61,14"
8,53,Leon,2655,491,"159,46,47,156"
9,54,Harris,24855,103112,"44,14,263,160,295,296,55"
9,55,Fort Bend,11284,40963,"54,296"
10,56,Austin,9188,2000,"60,59,58,57,296,253"
27,57,Colorado,5671,1911,"56,58,253,247,248"
10,58,Fayette,7732,2247,"57,56,60,62,64,254,298,248"
10,59,Waller,9447,6239,"60,56,61,296,45,48"
10,60,Washington,10866,3013,"56,58,62,59,45,149,150"
10,61,Harris,68540,22459,"59,48,52,14,44,296"
10,62,Lee,3045,993,"60,58,64,157,150"
10,63,Travis,37493,51400,"64,158,265,241,283"
10,64,Bastrop,7801,5448,"63,299,157,62,58,254"
11,65,Andrews,3626,664,"74,84,81,167,225"
11,66,Brown,11485,1898,"69,67,73,70,85,89,80"
11,67,Callahan,4125,791,"69,66,73,181,183"
11,68,Coke,1191,164,"86,90,91,88,178"
11,69,Coleman,2856,468,"67,66,80,71,88,183"
11,70,Comanche,3779,888,"66,85,73,307,331,236"
11,71,Concho,789,173,"91,88,69,80,83"
19,72,Dawson,2577,869,"81,167,184,177,162"
