district,county_id,county,rep,dem,Unnamed: 6,Unnamed: 7,Unnamed: 8,neighbors
1,133,Williamsburg,2814,4357,,,,"47,95"
1,123,Poquoson,5623,1187,,,,"95,150"
1,109,Fredericksburg,4331,6251,,,,"85,86"
1,95,York,21508,10945,,,,"133,47,148,123,119,150,149"
1,92,Westmoreland,4429,3266,,,,"49,64,76"
1,86,Stafford,33131,24493,,,,"30,73,24,85,109,49,17"
1,85,Spotsylvania,8484,6046,,,,"137,17,86,109,24"
1,76,Richmond,2513,1051,,,,"92,64,51"
1,73,Prince William,36708,37485,,,,"144,141,142,116,135,30,86"
1,64,Northumberland,4575,2751,,,,"92,76,51"
1,59,Middlesex,3692,2065,,,,"36,57,48,28"
1,57,Mathews,3626,1526,,,,"36,59"
1,51,Lancaster,3970,2740,,,,"76,64"
3,50,King William,5525,2873,,,,"17,48,42,62"
1,49,King George,6994,3886,,,,"86,17,28,92"
1,48,King and Queen,1948,1536,,,,"50,17,28,59,36"
1,47,James City,23784,15783,,,,"95,133,119,62,19,148"
1,36,Gloucester,13001,5685,,,,"48,59,57"
1,30,Fauquier,4268,2190,,,,"135,24,73,86"
1,28,Essex,2874,2494,,,,"17,48,59"
1,17,Caroline,6264,6504,,,,"137,85,86,49,28,48,50,42"
1,148,Newport News,674,1730,,,,"47,95,119,149"
2,131,Virginia Beach,105648,83846,,,,"101,151"
2,63,Northampton,2956,3333,,,,1
2,1,Accomack,8593,6797,,,,63
3,149,Newport News,21942,19626,,,,"119,95,150,111,148"
2,150,Hampton,10235,11045,,,,"111,95,123,149"
3,151,Norfolk,15603,17050,,,,"120,131"
4,146,Richmond,9518,59394,,,,"43,126,138,139,21"
3,124,Portsmouth,10259,30104,,,,"101,120"
3,122,Petersburg,1401,13521,,,,"21,27,102,72,147"
3,120,Norfolk,6535,35553,,,,"101,124,151"
3,119,Newport News,5601,27358,,,,"95,47,149,148"
2,111,Hampton,8196,35584,,,,"150,149"
3,87,Surry,1473,2697,,,,"72,88,84,46"
3,72,Prince George,3522,2886,,,,"122,102,87,113,147"
3,43,Henrico,9228,36291,,,,"146,42,139,62,19,21"
3,19,Charles City,1274,2767,,,,"47,62,43,21"
4,147,Prince George,5313,3768,,,,"27,88,122,72"
4,130,Suffolk,20556,20723,,,,"84,46,101"
4,113,Hopewell,4337,3855,,,,"72,21,147"
4,108,Franklin,1829,2204,,,,"84,46"
4,105,Emporia,1176,1377,,,,"40,13,27,88,84"
4,102,Colonial Heights,6432,1884,,,,"21,147,122"
4,101,Chesapeake,60561,47314,,,,"130,124,131,120"
4,88,Sussex,2386,2784,,,,"87,84,40,105,27,147"
4,84,Southampton,5310,3509,,,,"88,40,105,130,108,46,87"
5,70,Powhatan,11586,3456,,,,"25,4,37,138"
5,65,Nottoway,3780,2626,,,,"4,27,13,55,71"
4,46,Isle of Wight,12924,7407,,,,"84,108,130,87"
4,40,Greensville,2068,2617,,,,"13,27,88,105,84"
4,27,Dinwiddie,7383,5219,,,,"65,4,21,122,147,88,40,105,13"
4,21,Chesterfield,48794,38710,,,,"102,113,122,27,4,146,19,43,138"
5,4,Amelia,4564,2051,,,,"70,25,71,65,27,21,138"
5,145,Henry,3606,2945,,,,"118,44,33,69"
10,135,Fauquier,16226,10841,,,,"141,22,53,73,30,24,75,90"
5,104,Danville,8260,10569,,,,"69,145,33,97,10,16,41"
5,100,Charlottesville,5176,15273,,,,"2,39,66,54,32,15,61,8,79,132,129 "
5,97,Bedford,1584,1023,,,,"10,136,16,69,104,33,77,127,12"
5,75,Rappahannock,2223,2038,,,,"90,67,56,24,135"
5,71,Prince Edward,4237,4464,,,,"25,15,6,20,55,65,4"
5,69,Pittsylvania,19724,9986,,,,"145,33,97,10,16,41,104"
5,61,Nelson,4071,3868,,,,"6,15,2,100,8,129,132,78,114,99,5"
5,58,Mecklenburg,7941,5792,,,,"41,20,55,13"
5,56,Madison,3983,2379,,,,"75,24,66,39,67"
