,Unnamed: 0,paper_id,title,citation_count,author_names,author_ids,orignal_paper_id
0,1799,a7a9f305ebc4d5e9d128b0505fed18e62a393f46,Identity-Based Encryption from the Weil Pairing,9716,"['D. Boneh', 'M. Franklin']","['1752788', '1703043']",683c8f5c60916751bb23f159c86c1f2d4170e43f
1,1540,e4ce10063cd25447dcde75c2d9ce327446ced952,Calibrating Noise to Sensitivity in Private Data Analysis,7212,"['C. Dwork', 'Frank McSherry', 'Kobbi Nissim', 'Adam D. Smith']","['1781565', '3137076', '145725600', '39765787']",683c8f5c60916751bb23f159c86c1f2d4170e43f
2,1904,16d9393477302285a5ec57e737e5734f11a4040c,Public-Key Cryptosystems Based on Composite Degree Residuosity Classes,7066,['Pascal Paillier'],['1701587'],683c8f5c60916751bb23f159c86c1f2d4170e43f
3,1513,2618dbd8bc6bc401fbc202342c00cd2ffefcbe4f,Differential Privacy,5645,['C. Dwork'],['1781565'],683c8f5c60916751bb23f159c86c1f2d4170e43f
4,2008,91f6d387480b37b1cb4555ed4b96e3be441028c2,Random oracles are practical: a paradigm for designing efficient protocols,4985,"['M. Bellare', 'P. Rogaway']","['1703441', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
5,2046,9ccf7b6cb32cf89752a35bd910555adac54773e0,The Knowledge Complexity of Interactive Proof Systems,4171,"['S. Goldwasser', 'S. Micali', 'C. Rackoff']","['1706681', '1689467', '1693615']",683c8f5c60916751bb23f159c86c1f2d4170e43f
6,8581,2776d54485c112ceda70c4fee2ba6d85a331de0a,Improved approximation algorithms for maximum cut and satisfiability problems using semidefinite programming,3690,"['M. Goemans', 'David P. Williamson']","['1694388', '30094424']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
7,1377,70fda5147aedd42c64143a464117b5ffde18a2e4,Differential Privacy: A Survey of Results,3459,['C. Dwork'],['1781565'],683c8f5c60916751bb23f159c86c1f2d4170e43f
8,1790,44dc896ec1d1abf65a88a8f076515d26b54c6047,Universally composable security: a new paradigm for cryptographic protocols,3248,['R. Canetti'],['1749530'],683c8f5c60916751bb23f159c86c1f2d4170e43f
9,1656,afaa1636e44246ebf8f3c27ad32fca9a8ce5f0a1,Public Key Encryption with Keyword Search,3213,"['D. Boneh', 'G. D. Crescenzo', 'R. Ostrovsky', 'G. Persiano']","['1752788', '5783387', '1748224', '1778437']",683c8f5c60916751bb23f159c86c1f2d4170e43f
10,360,5b7bd2a9f5c3424f633bd991d1cf2c98ae013e3c,Computational Complexity: A Modern Approach,2965,"['Sanjeev Arora', 'B. Barak']","['145563459', '1697211']",f9b4a25845d741076f189480143af29f7b195373
11,2054,ec6ea162713960e0862f846a8872e2fe762b5a64,A Digital Signature Scheme Secure Against Adaptive Chosen-Message Attacks,2929,"['S. Goldwasser', 'S. Micali', 'R. Rivest']","['1706681', '1689467', '2113911099']",683c8f5c60916751bb23f159c86c1f2d4170e43f
13,1493,21dc0e958a59abf64a8e2deeb9fe61b1541987f5,Searchable symmetric encryption: improved definitions and efficient constructions,2558,"['Reza Curtmola', 'J. Garay', 'S. Kamara', 'R. Ostrovsky']","['1692516', '1727286', '144032384', '1748224']",683c8f5c60916751bb23f159c86c1f2d4170e43f
14,9592,4315baed930e06dac39875eba9e289e95d964309,Approximation algorithms for combinatorial problems,2525,['David S. Johnson'],['2150444582'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
