Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,paper_id,title,citation_count,author_names,author_ids,orignal_paper_id,author_count,unique_author_ids
0,0,9593,30b86960827597ab5509c575450953959dad1b54,Hierarchical Information Clustering by Means of Topologically Embedded Graphs,3549,"['Won-Min Song', 'T. D. Matteo', 'T. Aste']","['2288898018', '8903071', '2240098648']",2a005868b79511cf8c924cd5990e2497527a0527,3,True
1,1,9290,7fb27e0123ca907b55b8ef57afa1612731eba034,Defining and evaluating network communities based on ground-truth,2024,"['Jaewon Yang', 'J. Leskovec']","['32073252', '1702139']",2a005868b79511cf8c924cd5990e2497527a0527,2,True
2,2,6256,464aa76bf0affe892b046dcdfad42a344b750fa0,Community detection in networks: A user guide,1658,"['S. Fortunato', 'Darko Hric']","['2390078', '3334430']",2a005868b79511cf8c924cd5990e2497527a0527,2,True
3,5,9480,0b7a6c13d935aa79cd12b174725680be1a25883b,Networks formed from interdependent networks,978,"['Jianxi Gao', 'S. Buldyrev', 'H. Stanley', 'S. Havlin']","['2249889430', '2850031', '40191926', '2713727']",2a005868b79511cf8c924cd5990e2497527a0527,4,True
5,7,6305,f1681a359b623f69aecfc0270238b8200cc375e3,Vital nodes identification in complex networks,960,"['Linyuan Lu', 'Duanbing Chen', 'Xiaolong Ren', 'Qian-Ming Zhang', 'Yi-Cheng Zhang', 'Tao Zhou']","['34419615', '145838630', '2400681', '2267331369', '145140737', '3006776']",2a005868b79511cf8c924cd5990e2497527a0527,6,True
6,8,8856,d2eba33fa43e040158ce7aee9f0430b1224fb7ea,Overlapping community detection at scale: a nonnegative matrix factorization approach,858,"['Jaewon Yang', 'J. Leskovec']","['32073252', '1702139']",2a005868b79511cf8c924cd5990e2497527a0527,2,True
7,9,8297,d1bd08e6a77340b54dfe93442be3a74867380a37,Community Detection in Networks with Node Attributes,806,"['Jaewon Yang', 'Julian McAuley', 'J. Leskovec']","['35660011', '32073252', '1702139']",2a005868b79511cf8c924cd5990e2497527a0527,3,True
8,12,6169,3a8c034d112bce3499cbdcf64dab710d4cbc0df3,Statistical physics of vaccination,779,"['Zhen Wang', 'C. Bauch', 'S. Bhattacharyya', 'A. d’Onofrio', 'P. Manfredi', 'M. Perc', 'N. Perra', 'M. Salathé', 'Dawei Zhao']","['1826736', '73774143', '2118453203', '145045917', '1400712874', '144927645', '27218619', '2736592', '3046313']",2a005868b79511cf8c924cd5990e2497527a0527,9,True
9,14,9044,687370b408ceaaf5906fe1bb1ed58f99a38659e8,Structure and dynamics of molecular networks: A novel paradigm of drug discovery. A comprehensive review,769,"['P. Csermely', 'T. Korcsmáros', 'Huba J. M. Kiss', 'G. London', 'R. Nussinov']","['2961601', '2225307', '2040654', '1805230', '49941003']",2a005868b79511cf8c924cd5990e2497527a0527,5,True
11,17,9377,7999b1b449fe6c9e2dcec0d05b6433407ec9aa9c,Consensus clustering in complex networks,736,"['Andrea Lancichinetti', 'S. Fortunato']","['3334430', '2254625']",2a005868b79511cf8c924cd5990e2497527a0527,2,True
